Feature,Covered,Defining Type,UML Standard,Filtered
ownedParameter,true,[Abstract] BehavioralFeature,true,true
enclosingInteraction,true,[Abstract] InteractionFragment,true,true
exception,true,RaiseExceptionAction,true,true
result,true,ReadLinkAction,true,true
object,true,StartClassifierBehaviorAction,true,true
variable,true,[Abstract] VariableAction,true,true
name,true,[Abstract] NamedElement,true,true
useCase,true,[Abstract] Classifier,true,true
_timeIntervalOfMin,true,TimeExpression,false,false
event,true,DurationObservation,true,true
_behaviorOfOwnedParameterSet,true,ParameterSet,false,true
result,true,ReadIsClassifiedObjectAction,true,true
_connectorEndOfDefiningEnd,false,Property,false,false
_structuredClassifierOfOwnedConnector,true,Connector,false,true
required,true,Component,true,false
exit,true,ConnectionPointReference,true,true
covered__from_StateInvariant,true,StateInvariant,true,false
_activityEdgeOfGuard,true,[Abstract] ValueSpecification,false,true
ownedAttribute,true,Interface,true,true
redefinedElement,true,[Abstract] RedefinableElement,true,false
minint,true,InteractionConstraint,true,true
value,true,LiteralString,true,true
ownerOfDiagram,true,Diagram,true,true
value,true,[Abstract] WriteVariableAction,true,true
_informationItemOfRepresented,true,[Abstract] Classifier,false,false
_behaviorOfPrecondition,true,Constraint,false,true
_redefinableTemplateSignatureOfExtendedSignature,true,RedefinableTemplateSignature,false,false
instance,true,InstanceValue,true,true
_reduceActionOfReducer,true,[Abstract] Behavior,false,false
result,true,ReadSelfAction,true,true
incoming,true,[Abstract] Vertex,true,false
operand,true,CombinedFragment,true,true
_objectNodeOfInState,true,State,false,false
start,true,[Abstract] ExecutionSpecification,true,true
_associationOfEndType,true,[Abstract] Type,false,false
insertAt,true,AddVariableValueAction,true,true
ownedConnector,true,[Abstract] StructuredClassifier,true,true
redefinedEdge,true,[Abstract] ActivityEdge,true,true
packagedElement,true,Component,true,true
_componentOfRequired,false,Interface,false,false
_messageOfReceiveEvent,true,[Abstract] MessageEnd,false,false
max__from_TimeInterval,true,TimeInterval,true,false
endData__from_CreateLinkAction,true,CreateLinkAction,true,false
_constraintOfConstrainedElement,true,[Abstract] Element,false,true
applyingPackage,true,ProfileApplication,true,true
redefinedOperation,true,Operation,true,true
extensionLocation,true,Extend,true,true
client,true,Dependency,true,true
importedElement,true,ElementImport,true,true
direction,true,Parameter,true,true
_durationConstraintOfSpecification,true,DurationInterval,false,false
firstEvent,true,DurationObservation,true,true
_readIsClassifiedObjectActionOfClassifier,true,[Abstract] Classifier,false,false
_callEventOfOperation,true,Operation,false,false
_templateBindingOfSignature,true,TemplateSignature,false,false
redefinedClassifier,true,[Abstract] Classifier,true,true
representation,true,[Abstract] Classifier,true,true
connectionPoint,true,StateMachine,true,true
realizingClassifier,true,ComponentRealization,true,true
weight,true,[Abstract] ActivityEdge,true,true
mode,true,ExpansionRegion,true,true
owningElement,true,Comment,true,true
UMLClass,true,Operation,true,true
templateParameter,true,[Abstract] ParameterableElement,true,true
effect,true,Transition,true,true
when,true,TimeEvent,true,true
taggedValueOwner,true,[Abstract] TaggedValue,true,true
generalOrdering,true,[Abstract] InteractionFragment,true,true
isCovering,true,GeneralizationSet,true,true
interfaceRealization,true,[Abstract] BehavioredClassifier,true,true
value,true,ElementTaggedValue,true,true
removeAt,true,RemoveVariableValueAction,true,true
redefinedTransition,true,Transition,true,true
_instanceValueOfInstance,true,InstanceSpecification,false,false
max__from_DurationInterval,true,DurationInterval,true,false
qualifier,true,ReadLinkObjectEndQualifierAction,true,true
general,true,Generalization,true,true
UMLClass,true,[Abstract] Classifier,true,true
templateBinding,true,[Abstract] TemplateableElement,true,true
isDestroyOwnedObjects,true,DestroyObjectAction,true,true
_timeExpressionOfObservation,true,[Abstract] Observation,false,false
upperValue,true,[Abstract] MultiplicityElement,true,true
result,true,ClearStructuralFeatureAction,true,true
_intervalOfMax,true,[Abstract] ValueSpecification,false,false
actualGate,true,InteractionUse,true,true
viewpoint,true,Model,true,true
URI,true,Package,true,true
_replyActionOfReturnInformation,true,InputPin,false,true
isService,true,Port,true,true
isOrdered,true,Operation,true,false
body,true,Comment,true,true
_encapsulatedClassifierOfOwnedPort,false,Port,false,false
_artifactOfNestedArtifact,true,Artifact,false,true
_qualifierValueOfValue,true,InputPin,false,false
importedMember,true,[Abstract] Namespace,true,false
structuredNodeOutput,true,StructuredActivityNode,true,true
value,true,[Abstract] WriteStructuralFeatureAction,true,true
behavior,true,BehaviorExecutionSpecification,true,true
object,true,ReadIsClassifiedObjectAction,true,true
profileApplication,true,Package,true,true
_durationOfObservation,true,[Abstract] Observation,false,false
oldClassifier,true,ReclassifyObjectAction,true,true
represented,true,InformationItem,true,true
argument,true,Message,true,true
associationEnd,true,Property,true,true
contract,true,InterfaceRealization,true,true
_extendOfCondition,true,Constraint,false,true
ownedMember,true,[Abstract] Namespace,true,false
definingEnd,true,ConnectorEnd,true,false
subsettedProperty,true,Property,true,true
conformance,true,ProtocolStateMachine,true,true
observation,true,TimeExpression,true,true
parameteredElement__from_ClassifierTemplateParameter,true,ClassifierTemplateParameter,true,false
containedNode,true,[Abstract] ActivityGroup,true,false
_directedRelationshipOfTarget,true,[Abstract] Element,false,false
result,true,ReadLinkObjectEndQualifierAction,true,true
isDirect,true,ReadIsClassifiedObjectAction,true,true
_readSelfActionOfResult,true,OutputPin,false,true
_activityOfPartition,true,ActivityPartition,false,false
submachine,true,State,true,true
ownedParameterSet,true,[Abstract] BehavioralFeature,true,true
specification,true,[Abstract] Behavior,true,true
extendedCase,true,Extend,true,true
_elementImportOfImportedElement,true,[Abstract] PackageableElement,false,false
owningUpper,true,[Abstract] ValueSpecification,true,true
inGroup,true,[Abstract] ActivityEdge,true,false
inheritedParameter,true,RedefinableTemplateSignature,true,false
_elementValueOfElement,true,[Abstract] Element,false,false
localPostcondition,true,[Abstract] Action,true,true
visibility__from_PackageableElement,true,[Abstract] PackageableElement,true,false
bodyOutput,true,Clause,true,true
profile,true,Stereotype,true,false
isSimple,true,State,true,false
isReentrant,true,[Abstract] Behavior,true,true
